Year,Division,Indicator,Description,Number of Students Missing 10% or More of the Days Enrolled,Number of Students Enrolled for Half the Year or More,Chronic Absenteeism Rate,
2019,Alexandria City Public Schools,John Adams Elementary,Chronic Absenteeism,2018 - 2019,60,725,8.28
2019,Alexandria City Public Schools,Lyles-Crouch Elementary,Chronic Absenteeism,2018 - 2019,22,463,4.75
2019,Alexandria City Public Schools,Matthew Maury Elementary School,Chronic Absenteeism,2018 - 2019,26,372,6.99
2019,Alexandria City Public Schools,Mount Vernon Elementary,Chronic Absenteeism,2018 - 2019,46,878,5.24
2019,Alexandria City Public Schools,Patrick Henry Elementary,Chronic Absenteeism,2018 - 2019,74,787,9.4
2019,Alexandria City Public Schools,Samuel W. Tucker Elementary,Chronic Absenteeism,2018 - 2019,90,795,11.32
2019,Alexandria City Public Schools,T.C. Williams High School,Chronic Absenteeism,2018 - 2019,440,3967,11.09
2019,Alexandria City Public Schools,William Ramsay Elementary,Chronic Absenteeism,2018 - 2019,75,662,11.33
2019,Alleghany County Public Schools,Alleghany High,Chronic Absenteeism,2018 - 2019,169,652,25.92
2019,Alleghany County Public Schools,Callaghan Elementary,Chronic Absenteeism,2018 - 2019,32,207,15.46
2019,Alleghany County Public Schools,Clifton Middle,Chronic Absenteeism,2018 - 2019,109,475,22.95
2019,Alleghany County Public Schools,Mountain View Elementary,Chronic Absenteeism,2018 - 2019,89,465,19.14
2019,Alleghany County Public Schools,Sharon Elementary,Chronic Absenteeism,2018 - 2019,15,193,7.77
2019,Amelia County Public Schools,Amelia County Elementary,Chronic Absenteeism,2018 - 2019,71,645,11.01
2019,Amelia County Public Schools,Amelia County High,Chronic Absenteeism,2018 - 2019,92,524,17.56
2019,Amelia County Public Schools,Amelia County Middle,Chronic Absenteeism,2018 - 2019,60,541,11.09
2019,Amherst County Public Schools,Amelon Elementary,Chronic Absenteeism,2018 - 2019,41,423,9.69
2019,Amherst County Public Schools,Amherst County High,Chronic Absenteeism,2018 - 2019,232,1150,20.17
2019,Amherst County Public Schools,Amherst Elementary,Chronic Absenteeism,2018 - 2019,23,281,8.19
2019,Amherst County Public Schools,Amherst Middle,Chronic Absenteeism,2018 - 2019,42,380,11.05
2019,Amherst County Public Schools,Central Elementary,Chronic Absenteeism,2018 - 2019,46,309,14.89
2019,Amherst County Public Schools,Elon Elementary,Chronic Absenteeism,2018 - 2019,26,326,7.98
2019,Amherst County Public Schools,Madison Heights Elementary,Chronic Absenteeism,2018 - 2019,44,390,11.28
2019,Amherst County Public Schools,Monelison Middle,Chronic Absenteeism,2018 - 2019,62,607,10.21
2019,Amherst County Public Schools,Temperance Elementary,Chronic Absenteeism,2018 - 2019,6,110,5.45
2019,Appomattox County Public Schools,Appomattox County High,Chronic Absenteeism,2018 - 2019,76,693,10.97
2019,Appomattox County Public Schools,Appomattox Elementary,Chronic Absenteeism,2018 - 2019,29,507,5.72
2019,Appomattox County Public Schools,Appomattox Middle,Chronic Absenteeism,2018 - 2019,58,471,12.31
2019,Appomattox County Public Schools,Appomattox Primary,Chronic Absenteeism,2018 - 2019,34,497,6.84
2019,Arlington County Public Schools,Abingdon Elementary,Chronic Absenteeism,2018 - 2019,40,638,6.27
2019,Arlington County Public Schools,Alice West Fleet Elementary,Chronic Absenteeism,2018 - 2019,32,606,5.28
2019,Arlington County Public Schools,Arlington Community High,Chronic Absenteeism,2018 - 2019,159,219,72.6
2019,Arlington County Public Schools,Arlington Science Focus,Chronic Absenteeism,2018 - 2019,15,672,2.23
2019,Arlington County Public Schools,Arlington Traditional,Chronic Absenteeism,2018 - 2019,18,524,3.44
2019,Arlington County Public Schools,Ashlawn Elementary,Chronic Absenteeism,2018 - 2019,36,732,4.92
2019,Arlington County Public Schools,Barcroft Elementary,Chronic Absenteeism,2018 - 2019,29,407,7.13
2019,Arlington County Public Schools,Barrett Elementary,Chronic Absenteeism,2018 - 2019,20,504,3.97
2019,Arlington County Public Schools,Campbell Elementary,Chronic Absenteeism,2018 - 2019,26,393,6.62
2019,Arlington County Public Schools,Carlin Springs Elementary,Chronic Absenteeism,2018 - 2019,36,539,6.68
2019,Arlington County Public Schools,Claremont Immersion,Chronic Absenteeism,2018 - 2019,51,709,7.19
2019,Arlington County Public Schools,Discovery Elementary,Chronic Absenteeism,2018 - 2019,10,571,1.75
2019,Arlington County Public Schools,Dr. Charles R. Drew Elementary,Chronic Absenteeism,2018 - 2019,34,558,6.09
2019,Arlington County Public Schools,Francis Scott Key Elementary,Chronic Absenteeism,2018 - 2019,12,680,1.76
2019,Arlington County Public Schools,Glebe Elementary,Chronic Absenteeism,2018 - 2019,17,565,3.01
2019,Arlington County Public Schools,Gunston Middle,Chronic Absenteeism,2018 - 2019,60,1064,5.64
2019,Arlington County Public Schools,Hoffman-Boston Elementary,Chronic Absenteeism,2018 - 2019,18,384,4.69
2019,Arlington County Public Schools,Jamestown Elementary,Chronic Absenteeism,2018 - 2019,13,567,2.29
2019,Arlington County Public Schools,Jefferson Middle,Chronic Absenteeism,2018 - 2019,78,1188,6.57
2019,Arlington County Public Schools,Kenmore Middle,Chronic Absenteeism,2018 - 2019,54,998,5.41
2019,Arlington County Public Schools,Long Branch Elementary,Chronic Absenteeism,2018 - 2019,27,577,4.68
2019,Arlington County Public Schools,McKinley Elementary,Chronic Absenteeism,2018 - 2019,13,793,1.64
2019,Arlington County Public Schools,Nottingham Elementary,Chronic Absenteeism,2018 - 2019,5,501,1
2019,Arlington County Public Schools,Oakridge Elementary,Chronic Absenteeism,2018 - 2019,63,752,8.38
2019,Arlington County Public Schools,Randolph Elementary,Chronic Absenteeism,2018 - 2019,28,406,6.9
2019,Arlington County Public Schools,Swanson Middle,Chronic Absenteeism,2018 - 2019,35,1326,2.64
2019,Arlington County Public Schools,Taylor Elementary,Chronic Absenteeism,2018 - 2019,12,667,1.8
2019,Arlington County Public Schools,Tuckahoe Elementary,Chronic Absenteeism,2018 - 2019,6,517,1.16
2019,Arlington County Public Schools,Wakefield High,Chronic Absenteeism,2018 - 2019,426,2308,18.46
2019,Arlington County Public Schools,Washington-Liberty High,Chronic Absenteeism,2018 - 2019,275,2459,11.18
2019,Arlington County Public Schools,Williamsburg Middle,Chronic Absenteeism,2018 - 2019,55,1383,3.98
2019,Arlington County Public Schools,Yorktown High,Chronic Absenteeism,2018 - 2019,206,2293,8.98
2019,Augusta County Public Schools,Beverley Manor Middle,Chronic Absenteeism,2018 - 2019,81,733,11.05
2019,Augusta County Public Schools,Buffalo Gap High,Chronic Absenteeism,2018 - 2019,59,478,12.34
2019,Augusta County Public Schools,Cassell Elementary,Chronic Absenteeism,2018 - 2019,68,635,10.71
2019,Augusta County Public Schools,Churchville Elementary,Chronic Absenteeism,2018 - 2019,25,378,6.61
2019,Augusta County Public Schools,Craigsville Elementary,Chronic Absenteeism,2018 - 2019,12,138,8.7
2019,Augusta County Public Schools,Edward G. Clymore Elementary,Chronic Absenteeism,2018 - 2019,40,737,5.43
2019,Augusta County Public Schools,Fort Defiance High,Chronic Absenteeism,2018 - 2019,63,776,8.12
2019,Augusta County Public Schools,Guy K. Stump Elementary,Chronic Absenteeism,2018 - 2019,27,382,7.07
2019,Augusta County Public Schools,North River Elementary,Chronic Absenteeism,2018 - 2019,12,251,4.78
2019,Augusta County Public Schools,Riverheads Elementary,Chronic Absenteeism,2018 - 2019,46,655,7.02
2019,Augusta County Public Schools,Riverheads High,Chronic Absenteeism,2018 - 2019,40,445,8.99
2019,Augusta County Public Schools,S. Gordon Stewart Middle,Chronic Absenteeism,2018 - 2019,42,507,8.28
2019,Augusta County Public Schools,Stuarts Draft Elementary,Chronic Absenteeism,2018 - 2019,57,555,10.27
2019,Augusta County Public Schools,Stuarts Draft High,Chronic Absenteeism,2018 - 2019,88,682,12.9
2019,Augusta County Public Schools,Stuarts Draft Middle,Chronic Absenteeism,2018 - 2019,59,574,10.28
2019,Augusta County Public Schools,Wilson Elementary,Chronic Absenteeism,2018 - 2019,45,641,7.02
2019,Augusta County Public Schools,Wilson Memorial High,Chronic Absenteeism,2018 - 2019,75,773,9.7
2019,Augusta County Public Schools,Wilson Middle,Chronic Absenteeism,2018 - 2019,76,640,11.88
2019,Bath County Public Schools,Bath County High,Chronic Absenteeism,2018 - 2019,8,201,3.98
2019,Bath County Public Schools,Millboro Elementary,Chronic Absenteeism,2018 - 2019,15,138,10.87
2019,Bath County Public Schools,Valley Elementary,Chronic Absenteeism,2018 - 2019,21,181,11.6
2019,Bedford County Public Schools,Bedford Elementary,Chronic Absenteeism,2018 - 2019,42,466,9.01
2019,Bedford County Public Schools,Bedford Primary,Chronic Absenteeism,2018 - 2019,31,244,12.7
2019,Bedford County Public Schools,Big Island Elementary,Chronic Absenteeism,2018 - 2019,15,153,9.8
2019,Bedford County Public Schools,Boonsboro Elementary,Chronic Absenteeism,2018 - 2019,18,328,5.49
2019,Bedford County Public Schools,Forest Elementary,Chronic Absenteeism,2018 - 2019,9,360,2.5
2019,Bedford County Public Schools,Forest Middle,Chronic Absenteeism,2018 - 2019,37,941,3.93
2019,Bedford County Public Schools,Goodview Elementary,Chronic Absenteeism,2018 - 2019,26,449,5.79
2019,Bedford County Public Schools,Huddleston Elementary,Chronic Absenteeism,2018 - 2019,16,264,6.06
2019,Bedford County Public Schools,Jefferson Forest High,Chronic Absenteeism,2018 - 2019,78,1384,5.64
2019,Bedford County Public Schools,Liberty High,Chronic Absenteeism,2018 - 2019,70,759,9.22
2019,Bedford County Public Schools,Liberty Middle,Chronic Absenteeism,2018 - 2019,54,561,9.63
2019,Bedford County Public Schools,Moneta Elementary,Chronic Absenteeism,2018 - 2019,13,213,6.1
2019,Bedford County Public Schools,Montvale Elementary,Chronic Absenteeism,2018 - 2019,27,245,11.02
2019,Bedford County Public Schools,New London Academy Elementary,Chronic Absenteeism,2018 - 2019,16,306,5.23
2019,Bedford County Public Schools,Otter River Elementary,Chronic Absenteeism,2018 - 2019,16,216,7.41
2019,Bedford County Public Schools,Staunton River High,Chronic Absenteeism,2018 - 2019,126,919,13.71
2019,Bedford County Public Schools,Staunton River Middle,Chronic Absenteeism,2018 - 2019,100,704,14.2
2019,Bedford County Public Schools,Stewartsville Elementary,Chronic Absenteeism,2018 - 2019,48,325,14.77
2019,Bedford County Public Schools,Thomas Jefferson Elementary,Chronic Absenteeism,2018 - 2019,33,599,5.51
2019,Bland County Public Schools,Bland County Elementary ,Chronic Absenteeism,2018 - 2019,62,361,17.17
2019,Bland County Public Schools,Bland County High,Chronic Absenteeism,2018 - 2019,51,356,14.33
2019,Botetourt County Public Schools,Breckinridge Elementary,Chronic Absenteeism,2018 - 2019,15,205,7.32
2019,Botetourt County Public Schools,Buchanan Elementary,Chronic Absenteeism,2018 - 2019,18,245,7.35
2019,Botetourt County Public Schools,Central Academy Middle,Chronic Absenteeism,2018 - 2019,27,392,6.89
2019,Botetourt County Public Schools,Cloverdale Elementary,Chronic Absenteeism,2018 - 2019,4,279,1.43
2019,Botetourt County Public Schools,Colonial Elementary,Chronic Absenteeism,2018 - 2019,21,390,5.38
2019,Botetourt County Public Schools,Eagle Rock Elementary,Chronic Absenteeism,2018 - 2019,9,143,6.29
2019,Botetourt County Public Schools,Greenfield Elementary,Chronic Absenteeism,2018 - 2019,14,401,3.49
2019,Botetourt County Public Schools,James River High,Chronic Absenteeism,2018 - 2019,44,537,8.19
2019,Botetourt County Public Schools,Lord Botetourt High,Chronic Absenteeism,2018 - 2019,74,1054,7.02
2019,Botetourt County Public Schools,Read Mountain Middle,Chronic Absenteeism,2018 - 2019,45,690,6.52
2019,Botetourt County Public Schools,Troutville Elementary,Chronic Absenteeism,2018 - 2019,8,244,3.28
2019,Bristol City Public Schools,Highland View Elementary,Chronic Absenteeism,2018 - 2019,31,166,18.67
2019,Bristol City Public Schools,Joseph Van Pelt Elementary,Chronic Absenteeism,2018 - 2019,97,410,23.66
2019,Bristol City Public Schools,Stonewall Jackson Elementary,Chronic Absenteeism,2018 - 2019,22,233,9.44
2019,Bristol City Public Schools,Virginia High,Chronic Absenteeism,2018 - 2019,134,654,20.49
2019,Bristol City Public Schools,Virginia Middle,Chronic Absenteeism,2018 - 2019,90,490,18.37
2019,Bristol City Public Schools,Washington-Lee Elementary,Chronic Absenteeism,2018 - 2019,22,171,12.87
2019,Brunswick County Public Schools,Brunswick High,Chronic Absenteeism,2018 - 2019,105,494,21.26
2019,Brunswick County Public Schools,James S. Russell Middle,Chronic Absenteeism,2018 - 2019,12,333,3.6
2019,Brunswick County Public Schools,Meherrin Powellton Elementary,Chronic Absenteeism,2018 - 2019,24,238,10.08
2019,Brunswick County Public Schools,Red Oak-Sturgeon Elementary,Chronic Absenteeism,2018 - 2019,20,218,9.17
2019,Brunswick County Public Schools,Totaro Elementary,Chronic Absenteeism,2018 - 2019,45,273,16.48
2019,Buchanan County Public Schools,Council Elementary/Middle School,Chronic Absenteeism,2018 - 2019,15,174,8.62
2019,Buchanan County Public Schools,Council High ,Chronic Absenteeism,2018 - 2019,18,128,14.06
2019,Buchanan County Public Schools,Grundy High,Chronic Absenteeism,2018 - 2019,72,402,17.91
2019,Buchanan County Public Schools,Hurley Elementary/Middle,Chronic Absenteeism,2018 - 2019,62,403,15.38
2019,Buchanan County Public Schools,Hurley High,Chronic Absenteeism,2018 - 2019,44,233,18.88
2019,Buchanan County Public Schools,Riverview Elementary/Middle,Chronic Absenteeism,2018 - 2019,102,752,13.56
2019,Buchanan County Public Schools,Twin Valley Elementary/Middle,Chronic Absenteeism,2018 - 2019,43,327,13.15
2019,Buchanan County Public Schools,Twin Valley High,Chronic Absenteeism,2018 - 2019,17,209,8.13
2019,Buckingham County Public Schools,Buckingham Co Elementary,Chronic Absenteeism,2018 - 2019,49,501,9.78
2019,Buckingham County Public Schools,Buckingham Co Primary,Chronic Absenteeism,2018 - 2019,75,447,16.78
2019,Buckingham County Public Schools,Buckingham County High,Chronic Absenteeism,2018 - 2019,122,564,21.63
2019,Buckingham County Public Schools,Buckingham County Middle,Chronic Absenteeism,2018 - 2019,97,483,20.08
2019,Buena Vista City Public Schools,Enderly Heights Elementary,Chronic Absenteeism,2018 - 2019,14,179,7.82
2019,Buena Vista City Public Schools,F.W. Kling Jr. Elementary,Chronic Absenteeism,2018 - 2019,25,200,12.5
2019,Buena Vista City Public Schools,Parry McCluer High School,Chronic Absenteeism,2018 - 2019,36,381,9.45
2019,Buena Vista City Public Schools,Parry McCluer Middle School,Chronic Absenteeism,2018 - 2019,4,110,3.64
2019,Campbell County Public Schools,Altavista Elementary,Chronic Absenteeism,2018 - 2019,53,472,11.23
2019,Campbell County Public Schools,Altavista High,Chronic Absenteeism,2018 - 2019,65,642,10.12
2019,Campbell County Public Schools,Brookneal Elementary,Chronic Absenteeism,2018 - 2019,42,343,12.24
2019,Campbell County Public Schools,Brookville High,Chronic Absenteeism,2018 - 2019,97,988,9.82
2019,Campbell County Public Schools,Brookville Middle,Chronic Absenteeism,2018 - 2019,55,720,7.64
2019,Campbell County Public Schools,Concord Elementary,Chronic Absenteeism,2018 - 2019,31,373,8.31
2019,Campbell County Public Schools,Leesville Road Elementary,Chronic Absenteeism,2018 - 2019,33,631,5.23
2019,Campbell County Public Schools,Rustburg Elementary,Chronic Absenteeism,2018 - 2019,44,436,10.09
2019,Campbell County Public Schools,Rustburg High,Chronic Absenteeism,2018 - 2019,73,812,8.99
2019,Campbell County Public Schools,Rustburg Middle,Chronic Absenteeism,2018 - 2019,65,624,10.42
2019,Campbell County Public Schools,Tomahawk Elementary,Chronic Absenteeism,2018 - 2019,35,647,5.41
2019,Campbell County Public Schools,William Campbell High,Chronic Absenteeism,2018 - 2019,41,429,9.56
2019,Campbell County Public Schools,Yellow Branch Elementary,Chronic Absenteeism,2018 - 2019,57,517,11.03
2019,Caroline County Public Schools,Bowling Green Elementary,Chronic Absenteeism,2018 - 2019,141,678,20.8
2019,Caroline County Public Schools,Caroline High,Chronic Absenteeism,2018 - 2019,193,1159,16.65
2019,Caroline County Public Schools,Caroline Middle,Chronic Absenteeism,2018 - 2019,201,933,21.54
2019,Caroline County Public Schools,Lewis and Clark Elementary,Chronic Absenteeism,2018 - 2019,127,864,14.7
2019,Caroline County Public Schools,Madison Elementary,Chronic Absenteeism,2018 - 2019,57,455,12.53
2019,Carroll County Public Schools,Carroll County High,Chronic Absenteeism,2018 - 2019,108,1069,10.1
2019,Carroll County Public Schools,Carroll County Middle,Chronic Absenteeism,2018 - 2019,74,832,8.89
2019,Carroll County Public Schools,Fancy Gap Elementary,Chronic Absenteeism,2018 - 2019,5,138,3.62
2019,Carroll County Public Schools,Gladesboro Elementary,Chronic Absenteeism,2018 - 2019,4,102,3.92
2019,Carroll County Public Schools,Gladeville Elementary,Chronic Absenteeism,2018 - 2019,28,280,10
2019,Carroll County Public Schools,Hillsville Elementary,Chronic Absenteeism,2018 - 2019,19,469,4.05
2019,Carroll County Public Schools,Laurel Elementary,Chronic Absenteeism,2018 - 2019,15,210,7.14
2019,Carroll County Public Schools,Oakland Elementary,Chronic Absenteeism,2018 - 2019,18,165,10.91
2019,Carroll County Public Schools,St. Paul,Chronic Absenteeism,2018 - 2019,33,312,10.58
2019,Charles City County Public Schools,Charles City County Elementary,Chronic Absenteeism,2018 - 2019,41,300,13.67
2019,Charles City County Public Schools,Charles City County High,Chronic Absenteeism,2018 - 2019,72,303,23.76
2019,Charlotte County Public Schools,Bacon District Elementary,Chronic Absenteeism,2018 - 2019,19,139,13.67
2019,Charlotte County Public Schools,Central Middle,Chronic Absenteeism,2018 - 2019,67,412,16.26
2019,Charlotte County Public Schools,Eureka Elementary,Chronic Absenteeism,2018 - 2019,46,433,10.62
2019,Charlotte County Public Schools,Phenix Elementary,Chronic Absenteeism,2018 - 2019,34,243,13.99
2019,Charlotte County Public Schools,Randolph-Henry High,Chronic Absenteeism,2018 - 2019,109,527,20.68
2019,Charlottesville City Public Schools,Buford Middle,Chronic Absenteeism,2018 - 2019,60,526,11.41
2019,Charlottesville City Public Schools,Burnley-Moran Elementary,Chronic Absenteeism,2018 - 2019,41,368,11.14
2019,Charlottesville City Public Schools,Charlottesville High,Chronic Absenteeism,2018 - 2019,92,1182,7.78
2019,Charlottesville City Public Schools,Clark Elementary,Chronic Absenteeism,2018 - 2019,23,263,8.75
2019,Charlottesville City Public Schools,Greenbrier Elementary,Chronic Absenteeism,2018 - 2019,22,368,5.98
2019,Charlottesville City Public Schools,Jackson-Via Elementary,Chronic Absenteeism,2018 - 2019,27,315,8.57
2019,Charlottesville City Public Schools,Johnson Elementary,Chronic Absenteeism,2018 - 2019,13,312,4.17
2019,Charlottesville City Public Schools,Venable Elementary,Chronic Absenteeism,2018 - 2019,10,309,3.24
2019,Charlottesville City Public Schools,Walker Upper Elementary,Chronic Absenteeism,2018 - 2019,63,646,9.75
2019,Chesapeake City Public Schools,B.M. Williams Primary,Chronic Absenteeism,2018 - 2019,78,753,10.36
2019,Chesapeake City Public Schools,Butts Road Intermediate,Chronic Absenteeism,2018 - 2019,23,662,3.47
2019,Chesapeake City Public Schools,Butts Road Primary,Chronic Absenteeism,2018 - 2019,18,524,3.44
2019,Chesapeake City Public Schools,Camelot Elementary,Chronic Absenteeism,2018 - 2019,23,476,4.83
2019,Chesapeake City Public Schools,Cedar Road Elementary,Chronic Absenteeism,2018 - 2019,41,808,5.07
2019,Chesapeake City Public Schools,Crestwood Intermediate,Chronic Absenteeism,2018 - 2019,46,704,6.53
2019,Chesapeake City Public Schools,Crestwood Middle,Chronic Absenteeism,2018 - 2019,35,593,5.9
2019,Chesapeake City Public Schools,Deep Creek Central Elementary,Chronic Absenteeism,2018 - 2019,29,756,3.84
2019,Chesapeake City Public Schools,Deep Creek Elementary,Chronic Absenteeism,2018 - 2019,40,740,5.41
2019,Chesapeake City Public Schools,Deep Creek High,Chronic Absenteeism,2018 - 2019,134,1585,8.45
2019,Chesapeake City Public Schools,Deep Creek Middle,Chronic Absenteeism,2018 - 2019,53,786,6.74
2019,Chesapeake City Public Schools,Edwin W. Chittum Elementary,Chronic Absenteeism,2018 - 2019,46,746,6.17
2019,Chesapeake City Public Schools,G.A. Treakle Elementary,Chronic Absenteeism,2018 - 2019,57,484,11.78
2019,Chesapeake City Public Schools,George W. Carver Intermediate,Chronic Absenteeism,2018 - 2019,44,580,7.59
2019,Chesapeake City Public Schools,Georgetown Primary,Chronic Absenteeism,2018 - 2019,67,743,9.02
2019,Chesapeake City Public Schools,Grassfield Elementary,Chronic Absenteeism,2018 - 2019,35,1027,3.41
2019,Chesapeake City Public Schools,Grassfield High,Chronic Absenteeism,2018 - 2019,49,2297,2.13
2019,Chesapeake City Public Schools,Great Bridge High,Chronic Absenteeism,2018 - 2019,71,1432,4.96
2019,Chesapeake City Public Schools,Great Bridge Intermediate,Chronic Absenteeism,2018 - 2019,27,686,3.94
2019,Chesapeake City Public Schools,Great Bridge Middle,Chronic Absenteeism,2018 - 2019,85,1384,6.14
2019,Chesapeake City Public Schools,Great Bridge Primary,Chronic Absenteeism,2018 - 2019,25,557,4.49
2019,Chesapeake City Public Schools,Greenbrier Intermediate,Chronic Absenteeism,2018 - 2019,48,678,7.08
2019,Chesapeake City Public Schools,Greenbrier Middle,Chronic Absenteeism,2018 - 2019,61,925,6.59
2019,Chesapeake City Public Schools,Greenbrier Primary,Chronic Absenteeism,2018 - 2019,72,678,10.62
2019,Chesapeake City Public Schools,Hickory Elementary,Chronic Absenteeism,2018 - 2019,28,462,6.06
2019,Chesapeake City Public Schools,Hickory High,Chronic Absenteeism,2018 - 2019,76,1709,4.45
2019,Chesapeake City Public Schools,Hickory Middle,Chronic Absenteeism,2018 - 2019,73,1317,5.54
2019,Chesapeake City Public Schools,Hugo A. Owens Middle,Chronic Absenteeism,2018 - 2019,78,1287,6.06
2019,Chesapeake City Public Schools,Indian River High,Chronic Absenteeism,2018 - 2019,146,1693,8.62
2019,Chesapeake City Public Schools,Indian River Middle,Chronic Absenteeism,2018 - 2019,68,786,8.65
2019,Chesapeake City Public Schools,Jolliff Middle,Chronic Absenteeism,2018 - 2019,51,690,7.39
2019,Chesapeake City Public Schools,Norfolk Highlands Primary,Chronic Absenteeism,2018 - 2019,30,316,9.49
2019,Chesapeake City Public Schools,Oscar F. Smith High,Chronic Absenteeism,2018 - 2019,163,2114,7.71
2019,Chesapeake City Public Schools,Oscar Smith Middle,Chronic Absenteeism,2018 - 2019,197,1075,18.33
2019,Chesapeake City Public Schools,Portlock Primary,Chronic Absenteeism,2018 - 2019,48,542,8.86
2019,Chesapeake City Public Schools,Rena B. Wright Primary,Chronic Absenteeism,2018 - 2019,37,302,12.25
2019,Chesapeake City Public Schools,Southeastern Elementary,Chronic Absenteeism,2018 - 2019,34,775,4.39
2019,Chesapeake City Public Schools,Southwestern Elementary,Chronic Absenteeism,2018 - 2019,48,521,9.21
2019,Chesapeake City Public Schools,Sparrow Road Intermediate,Chronic Absenteeism,2018 - 2019,34,514,6.61
